"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2024","189.87","189.51","190.81","189.18","41.28M","0.02%"
"05/16/2024","189.84","190.47","191.10","189.66","52.85M","0.06%"
"05/15/2024","189.72","187.91","190.65","187.37","70.40M","1.22%"
"05/14/2024","187.43","187.51","188.30","186.29","52.39M","0.62%"
"05/13/2024","186.28","185.43","187.10","184.62","72.04M","1.76%"
"05/10/2024","183.05","184.90","185.09","182.13","50.76M","-0.82%"
"05/09/2024","184.57","182.56","184.66","182.11","48.98M","1.00%"
"05/08/2024","182.74","182.85","183.07","181.45","45.06M","0.19%"
"05/07/2024","182.40","183.45","184.90","181.32","77.31M","0.38%"
"05/06/2024","181.71","182.35","184.20","180.42","78.57M","-0.91%"
"05/03/2024","183.38","186.65","187.00","182.66","163.22M","5.98%"
"05/02/2024","173.03","172.51","173.41","170.89","94.21M","2.20%"
"05/01/2024","169.30","169.58","172.71","169.11","50.38M","-0.60%"
"04/30/2024","170.33","173.33","174.99","170.00","65.93M","-1.83%"
"04/29/2024","173.50","173.37","176.03","173.10","68.17M","2.48%"
"04/26/2024","169.30","169.88","171.34","169.18","44.84M","-0.35%"
"04/25/2024","169.89","169.52","170.61","168.15","50.56M","0.51%"
"04/24/2024","169.02","166.54","169.30","166.21","48.25M","1.27%"
"04/23/2024","166.90","165.35","167.05","164.92","49.54M","0.64%"
"04/22/2024","165.84","165.51","167.26","164.77","48.12M","0.51%"
"04/19/2024","165.00","166.21","166.40","164.07","68.15M","-1.22%"
"04/18/2024","167.04","168.03","168.64","166.55","43.12M","-0.57%"
"04/17/2024","168.00","169.61","170.65","168.00","50.90M","-0.81%"
"04/16/2024","169.38","171.75","173.76","168.27","73.71M","-1.92%"
"04/15/2024","172.69","175.36","176.63","172.50","73.53M","-2.19%"
"04/12/2024","176.55","174.26","178.36","174.21","101.67M","0.86%"
"04/11/2024","175.04","168.34","175.46","168.16","91.07M","4.33%"
"04/10/2024","167.78","168.80","169.09","167.11","49.71M","-1.11%"
"04/09/2024","169.67","168.70","170.08","168.35","42.45M","0.72%"
"04/08/2024","168.45","169.03","169.20","168.24","37.43M","-0.67%"
"04/05/2024","169.58","169.59","170.39","168.95","42.10M","0.45%"
